index,Name,Location,Year,Fuel_Type,Transmission,Owner_Type,Seats,Price,age,KM_Driven,make,mileage_new,engine_new,power_new
1036,Nissan Micra XE,Pune,2010,Petrol,Manual,Second,5,2.3,9,85,nissan,18.06,1198,75
1041,Maruti Swift VXI,Coimbatore,2013,Petrol,Manual,First,5,4.57,6,61,maruti,18.6,1197,85.8
1042,Hyundai Xcent 1.1 CRDi S,Chennai,2016,Diesel,Manual,First,5,3.5,3,80,hyundai,24.4,1120,71
1045,Hyundai Grand i10 Asta Option,Coimbatore,2016,Petrol,Manual,First,5,5.88,3,44,hyundai,18.9,1197,82
1047,Hyundai i20 1.2 Magna,Kolkata,2015,Petrol,Manual,First,5,4.6,4,35,hyundai,18.5,1197,80
1048,Ford EcoSport 1.5 TDCi Titanium,Kolkata,2013,Diesel,Manual,First,5,4.9,6,44,ford,22.77,1498,98.59
1051,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2014,Diesel,Manual,First,5,3.8,5,35,volkswagen,22.07,1199,73.9
1053,Ford Ecosport 1.5 DV5 MT Titanium,Hyderabad,2013,Diesel,Manual,First,5,7.2,6,69,ford,22.7,1498,89.84
1054,Tata Indigo GLE,Hyderabad,2017,Petrol,Manual,First,5,4.5,2,23,tata,14.4,1396,65
1055,Maruti Swift Dzire LDI,Delhi,2014,Diesel,Manual,First,5,4.15,5,68,maruti,26.59,1248,74
1056,Maruti S-Cross Zeta DDiS 200 SH,Coimbatore,2016,Diesel,Manual,First,5,7.94,3,74,maruti,25.1,1248,88.5
1058,Maruti Wagon R VXI,Delhi,2016,Petrol,Manual,First,5,3.7,3,22,maruti,18.9,998,67.1
1060,Chevrolet Beat Diesel LT,Chennai,2011,Diesel,Manual,Third,5,1.5,8,109,chevrolet,25.44,936,57.6
1062,Hyundai i10 Era 1.1,Delhi,2012,Petrol,Manual,Second,5,2.2,7,51,hyundai,19.81,1086,68.05
1064,Hyundai i10 Sportz,Kolkata,2009,Petrol,Manual,First,5,1.92,10,43,hyundai,20.36,1197,78.9
1067,Hyundai Grand i10 Sportz,Kolkata,2013,Petrol,Manual,First,5,3.2,6,29,hyundai,18.9,1197,82
1069,Maruti Swift Dzire VDI,Kolkata,2014,Diesel,Manual,First,5,3.85,5,45,maruti,23.4,1248,74
1070,Hyundai i20 Asta 1.4 CRDi (Diesel),Kochi,2010,Diesel,Manual,First,5,3.48,9,93,hyundai,23,1396,90
1071,Ford Figo 2015-2019 1.5D Trend MT,Hyderabad,2017,Diesel,Manual,Second,5,4.55,2,95,ford,25.83,1498,99
1072,Maruti Ertiga VDI,Pune,2016,Diesel,Manual,First,7,7,3,130,maruti,25.47,1248,88.5
1073,Maruti Ertiga ZDI,Ahmedabad,2013,Diesel,Manual,First,7,5.75,6,67,maruti,20.77,1248,88.8
1075,Maruti Alto LXi BSIII,Hyderabad,2009,Petrol,Manual,First,5,1.7,10,35,maruti,19.7,796,46.3
1077,Maruti Vitara Brezza ZDi Plus,Kochi,2019,Diesel,Manual,First,5,10.49,0,34,maruti,24.3,1248,88.5
1079,Maruti Swift ZDi,Pune,2016,Diesel,Manual,First,5,7.55,3,58,maruti,22.9,1248,74
1080,Tata Zest Revotron 1.2 XT,Mumbai,2014,Petrol,Manual,First,5,3.95,5,40,tata,17.57,1193,88.7
1081,Hyundai i20 1.2 Sportz Option,Bangalore,2010,Petrol,Manual,Fourth & Above,5,3.25,9,61,hyundai,17,1197,80
1082,Skoda Fabia 1.4 TDI Active,Mumbai,2009,Diesel,Manual,First,5,2.75,10,86,skoda,19.4,1422,70
1083,Toyota Corolla Altis D-4D J,Kolkata,2015,Diesel,Manual,First,5,7.35,4,45,toyota,21.43,1364,87.2
1084,Volkswagen Ameo 1.2 MPI Comfortline,Ahmedabad,2017,Petrol,Manual,First,5,4.7,2,55,volkswagen,17,1198,73.75
1086,Hyundai i10 Magna 1.2,Kochi,2013,Petrol,Manual,First,5,3.42,6,46,hyundai,20.36,1197,78.9
1087,Chevrolet Beat LS,Kolkata,2015,Petrol,Manual,First,5,2.5,4,120,chevrolet,18.6,1199,76.8
1091,Hyundai i10 Asta AT,Mumbai,2011,Petrol,Automatic,First,5,3.45,8,64,hyundai,16.95,1197,78.9
1092,Maruti Alto K10 VXI AGS,Pune,2015,Petrol,Automatic,First,5,3.3,4,73,maruti,24.07,998,67.1
1094,Maruti Vitara Brezza VDi,Kolkata,2017,Diesel,Manual,First,5,6.5,2,35,maruti,24.3,1248,88.5
1095,Hyundai EON D Lite Plus,Hyderabad,2013,Petrol,Manual,First,5,3.65,6,17,hyundai,21.1,814,55.2
1098,Maruti Wagon R VXI,Kolkata,2015,Petrol,Manual,First,5,2.8,4,14,maruti,18.9,998,67.1
1099,Hyundai i20 Sportz Option,Chennai,2012,Petrol,Manual,First,5,4,7,50,hyundai,17,1197,80
1105,Maruti Wagon R VXI,Coimbatore,2008,Petrol,Manual,Second,5,2.69,11,53,maruti,18.9,998,67.1
1107,Honda Amaze EX i-Vtech,Kolkata,2014,Petrol,Manual,First,5,2.75,5,48,honda,18,1198,86.7
1108,Maruti Alto 800 2016-2019 LXI,Mumbai,2016,Petrol,Manual,First,5,2.8,3,24,maruti,24.7,796,47.3
1110,Tata Tiago 1.2 Revotron XZ,Coimbatore,2018,Petrol,Manual,First,5,5.88,1,9,tata,23.84,1199,84
1111,Maruti Swift LXI,Pune,2013,Petrol,Manual,First,5,4.65,6,32,maruti,18.6,1197,85.8
1112,Hyundai EON Era,Jaipur,2014,Petrol,Manual,First,5,2.5,5,18,hyundai,21.1,814,55.2
1114,Hyundai i20 Magna 1.4 CRDi,Hyderabad,2016,Diesel,Manual,First,5,6.85,3,33,hyundai,22.54,1396,88.73
1115,Toyota Etios VD,Chennai,2012,Diesel,Manual,First,5,5.25,7,48,toyota,23.59,1364,67.05
1116,Toyota Corolla Altis Diesel D4DG,Coimbatore,2014,Diesel,Manual,First,5,9.23,5,72,toyota,21.43,1364,87.2
1118,Volkswagen Polo 1.5 TDI Highline,Hyderabad,2014,Diesel,Manual,First,5,5.19,5,69,volkswagen,20.14,1498,88.8
1121,Maruti Swift VDi BSIII W/ ABS,Pune,2015,Diesel,Manual,First,5,5.75,4,79,maruti,17.8,1248,75
1124,Hyundai i10 Magna AT,Bangalore,2009,Petrol,Automatic,First,5,2.99,10,60,hyundai,19.2,1197,80
1125,Maruti Swift Dzire VDI,Kolkata,2014,Diesel,Manual,First,5,3.89,5,57,maruti,26.59,1248,74
1126,Honda City i DTec VX,Coimbatore,2018,Diesel,Manual,First,5,11.73,1,45,honda,26,1498,98.6
1127,Maruti Omni 8 Seater BSIV,Coimbatore,2016,Petrol,Manual,First,5,3.11,3,55,maruti,14,796,35
1129,Maruti Ertiga SHVS VDI,Ahmedabad,2018,Diesel,Manual,First,7,8.7,1,38,maruti,24.52,1248,88.5
1130,Hyundai Grand i10 CRDi Magna,Kochi,2016,Diesel,Manual,First,5,5.04,3,57,hyundai,24,1120,70
1131,Maruti Ciaz VDi Plus SHVS,Jaipur,2017,Diesel,Manual,First,5,8.5,2,38,maruti,28.09,1248,88.5
1133,Fiat Avventura MULTIJET Emotion,Mumbai,2015,Diesel,Manual,First,5,5.65,4,32,fiat,20.5,1248,91.72
1139,Hyundai Grand i10 1.2 Kappa Magna,Delhi,2017,Petrol,Manual,First,5,5,2,8,hyundai,18.9,1197,81.86
1142,Tata Indica Vista Aura 1.3 Quadrajet,Chennai,2011,Diesel,Manual,First,5,1.75,8,120,tata,18,1248,75
1146,Mahindra Bolero ZLX,Mumbai,2016,Diesel,Manual,First,7,3.5,3,40,mahindra,15.96,2523,62.1
1147,Maruti Vitara Brezza ZDi,Coimbatore,2018,Diesel,Manual,First,5,10.46,1,64,maruti,24.3,1248,88.5
1148,Fiat Avventura MULTIJET Emotion,Pune,2014,Diesel,Manual,First,5,4.85,5,52,fiat,20.5,1248,91.72
1149,Honda Amaze S Petrol,Kochi,2016,Petrol,Manual,First,5,5.68,3,51,honda,19.5,1199,88.76
1152,Maruti Wagon R VXI BSIII,Chennai,2013,Petrol,Manual,First,5,3,6,79,maruti,18.9,998,67.1
1155,Maruti Swift VXi BSIV,Delhi,2016,Petrol,Manual,First,5,4.75,3,42,maruti,16.1,1197,85
1156,Volkswagen Polo 1.2 MPI Highline,Bangalore,2014,Petrol,Manual,First,5,5.35,5,62,volkswagen,16.47,1198,74
1157,Hyundai Grand i10 1.2 Kappa Asta,Hyderabad,2017,Petrol,Manual,First,5,5.98,2,20,hyundai,18.9,1197,81.86
1158,Maruti SX4 ZDI,Chennai,2011,Diesel,Manual,Third,5,3.5,8,80,maruti,21.5,1248,88.8
1159,Hyundai Grand i10 1.2 Kappa Magna,Kochi,2018,Petrol,Manual,First,5,4.77,1,50,hyundai,18.9,1197,81.86
1160,Maruti Baleno Delta 1.2,Delhi,2016,Petrol,Manual,First,5,5.45,3,50,maruti,21.4,1197,83.1
1161,Tata Tigor 1.2 Revotron XTA,Ahmedabad,2018,Petrol,Automatic,First,5,6.85,1,1,tata,20.3,1199,84
1162,Maruti Swift Dzire AMT ZDI,Jaipur,2016,Diesel,Automatic,First,5,7.3,3,54,maruti,26.59,1248,74
1163,Tata Indica GLS BS IV,Pune,2007,Petrol,Manual,First,5,1.25,12,108,tata,15.3,1193,65.3
1165,Maruti Swift VXI BSIII,Ahmedabad,2008,Petrol,Manual,First,5,2.71,11,65,maruti,16.1,1298,88.2
1166,Hyundai Xcent 1.2 Kappa SX,Kolkata,2016,Petrol,Manual,First,5,3.6,3,32,hyundai,19.1,1197,82
1167,Hyundai i20 1.2 Magna,Ahmedabad,2010,Petrol,Manual,First,5,3,9,65,hyundai,18.5,1197,80
1168,Maruti Celerio VXI AT,Hyderabad,2016,Petrol,Automatic,First,5,4.65,3,21,maruti,23.1,998,67.04
1170,Maruti Swift Dzire VXi,Mumbai,2011,Petrol,Manual,First,5,2.95,8,58,maruti,17.5,1298,85.8
1172,Maruti Swift ZDi,Hyderabad,2015,Diesel,Manual,First,5,5.95,4,58,maruti,25.2,1248,74
1176,Fiat Linea Emotion Pack (Diesel),Pune,2010,Diesel,Manual,Second,5,2.25,9,172,fiat,19,1248,93
1177,Hyundai i10 Era,Jaipur,2013,Petrol,Manual,First,5,3.1,6,46,hyundai,19.81,1086,68.05
1179,Hyundai i20 1.2 Asta,Jaipur,2018,Petrol,Manual,First,5,6.5,1,5,hyundai,18.6,1197,81.83
1180,Honda City i DTEC S,Ahmedabad,2014,Diesel,Manual,First,5,5.7,5,66,honda,26,1498,98.6
1181,Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,Ahmedabad,2013,Diesel,Manual,First,8,8,6,119,toyota,12.99,2494,100
1182,Renault KWID RXT,Chennai,2016,Petrol,Manual,First,5,2.6,3,45,renault,25.17,799,53.3
1183,Maruti A-Star Vxi,Hyderabad,2009,Petrol,Manual,First,5,2.45,10,66,maruti,19,998,66.1
1185,Maruti Wagon R LXI BS IV,Kolkata,2012,Petrol,Manual,First,5,2.3,7,35,maruti,18.9,998,67.1
1186,Maruti Swift VDI BSIV,Jaipur,2016,Diesel,Manual,First,5,5.9,3,41,maruti,25.2,1248,74
1190,Hyundai i10 Magna Optional 1.1L,Kolkata,2010,Petrol,Manual,First,5,1.95,9,27,hyundai,16,1086,66.7
1191,Toyota Etios GD SP,Coimbatore,2016,Diesel,Manual,First,5,6.55,3,53,toyota,23.59,1364,67.04
1193,Ford Figo Diesel EXI,Kolkata,2012,Diesel,Manual,First,5,2.65,7,36,ford,20,1399,68.05
1196,Maruti Alto 800 VXI,Pune,2014,Petrol,Manual,Second,5,2.1,5,32,maruti,22.74,796,47.3
1198,Volkswagen Polo 1.0 MPI Trendline,Hyderabad,2019,Petrol,Manual,First,5,5.68,0,1,volkswagen,18.78,999,75
1202,Maruti Alto 800 LXI,Kolkata,2013,Petrol,Manual,First,5,1.55,6,56,maruti,22.74,796,47.3
1206,Maruti Ertiga VDI,Mumbai,2016,Diesel,Manual,First,7,7.75,3,54,maruti,20.77,1248,88.76
1208,Tata Manza Aura Safire,Kolkata,2010,Petrol,Manual,First,5,1.35,9,40,tata,15,1368,90
1213,Ford Figo Diesel Titanium,Mumbai,2014,Diesel,Manual,First,5,3.25,5,54,ford,20,1399,68.05
1214,Honda Jazz 1.2 VX i VTEC,Mumbai,2016,Petrol,Manual,First,5,6.4,3,15,honda,18.7,1199,88.7
1215,Volkswagen Polo Petrol Highline 1.2L,Bangalore,2012,Petrol,Manual,Second,5,3.95,7,75,volkswagen,16.47,1198,73.9
1217,Honda City ZX GXi,Mumbai,2005,Petrol,Manual,Second,5,1.25,14,56,honda,17.7,1497,78
1221,Ambassador Classic Nova Diesel,Chennai,2003,Diesel,Manual,Third,5,1.35,16,80,ambassador,12.8,1489,35.5
1224,Maruti Zen VX,Jaipur,1999,Petrol,Manual,Second,5,0.77,20,70,maruti,17.3,993,60
1225,Maruti 800 DX BSII,Jaipur,2009,Petrol,Manual,First,4,0.9,10,32,maruti,16.1,796,37
1228,Ford Ikon 1.3 Flair,Chennai,2007,Petrol,Manual,Third,5,1.1,12,40,ford,13.8,1299,70
1229,Chevrolet Beat LT,Pune,2012,Petrol,Manual,Second,5,2,7,78,chevrolet,18.6,1199,79.4
1230,Toyota Corolla Altis 1.4 DG,Ahmedabad,2012,Diesel,Manual,First,5,6.5,7,52,toyota,21.43,1364,86.79
1232,Hyundai Xcent 1.1 CRDi Base,Mumbai,2016,Diesel,Manual,First,5,4,3,170,hyundai,24.4,1120,71
1234,Hyundai i10 Sportz,Pune,2009,Petrol,Manual,First,5,2.1,10,62,hyundai,20.36,1197,78.9
1238,Hyundai i20 Magna Optional 1.4 CRDi,Mumbai,2014,Diesel,Manual,First,5,4.65,5,12,hyundai,21.9,1396,88.8
1240,Maruti Ritz VDi,Pune,2013,Diesel,Manual,First,5,4.35,6,20,maruti,21.1,1248,73.9
1243,Mahindra Xylo D4,Chennai,2016,Diesel,Manual,First,7,6.15,3,85,mahindra,14.95,2489,93.7
1247,Maruti Swift VDI,Kochi,2017,Diesel,Manual,First,5,6.24,2,34,maruti,28.4,1248,74
1248,Maruti Ertiga VDI Limited Edition,Chennai,2015,Diesel,Manual,First,7,4.8,4,153,maruti,20.77,1248,88.76
1249,Maruti Swift VXi BSIV,Chennai,2014,Petrol,Manual,Second,5,4.5,5,54,maruti,16.1,1197,85
1250,Hyundai i10 Sportz,Kochi,2015,Petrol,Manual,First,5,3.87,4,16,hyundai,20.36,1197,78.9
1251,Hyundai i10 Sportz,Delhi,2013,Petrol,Manual,First,5,2.75,6,62,hyundai,20.36,1197,78.9
1252,Maruti Baleno Sigma 1.2,Kochi,2018,Petrol,Manual,First,5,6.57,1,23,maruti,21.4,1197,83.1
1253,Hyundai Accent Executive,Jaipur,2010,Petrol,Manual,First,5,2,9,52,hyundai,16.36,1495,93.7
1254,Honda Brio S MT,Ahmedabad,2012,Petrol,Manual,First,5,3.65,7,50,honda,19.4,1198,86.8
1255,Maruti Swift ZDi,Hyderabad,2016,Diesel,Manual,First,5,6.95,3,55,maruti,22.9,1248,74
1256,Hyundai Xcent 1.2 VTVT S,Bangalore,2014,Petrol,Manual,First,5,5.5,5,54,hyundai,20.14,1197,81.86
1261,Hyundai i20 Asta 1.4 CRDi,Kochi,2015,Diesel,Manual,First,5,6.45,4,46,hyundai,21.27,1396,88.76
1266,Maruti Alto K10 2010-2014 VXI,Hyderabad,2012,Petrol,Manual,First,5,2.4,7,46,maruti,20.92,998,67.1
1267,Tata Indigo eCS LX BSIV,Chennai,2011,Diesel,Manual,First,5,2.3,8,124,tata,23.03,1396,69
1273,Hyundai Grand i10 Sportz,Ahmedabad,2017,Petrol,Manual,First,5,5.4,2,17,hyundai,18.9,1197,82
1274,Maruti Eeco 7 Seater Standard,Hyderabad,2015,Petrol,Manual,First,7,2.95,4,90,maruti,15.1,1196,73
1275,Volkswagen Polo Petrol Highline 1.2L,Bangalore,2013,Petrol,Manual,First,5,5.1,6,37,volkswagen,16.47,1198,73.9
1276,Maruti Wagon R LXI Minor,Jaipur,2006,Petrol,Manual,First,5,1.5,13,65,maruti,18.9,1061,67
1279,Honda City 1.5 EXI,Pune,2005,Petrol,Manual,First,5,1.15,14,98,honda,13,1493,100
1280,Hyundai i20 1.2 Magna,Kolkata,2010,Petrol,Manual,First,5,2.3,9,18,hyundai,18.5,1197,80
1281,Hyundai Grand i10 CRDi Sportz Celebration Edition,Kochi,2018,Diesel,Manual,First,5,5.99,1,35,hyundai,24,1120,70
1283,Hyundai i10 Sportz 1.2,Kolkata,2009,Petrol,Manual,First,5,1.7,10,40,hyundai,20.36,1197,78.9
1284,Hyundai i20 Asta,Kolkata,2009,Petrol,Manual,First,5,1.99,10,43,hyundai,17,1197,80
1285,Chevrolet Beat LS,Pune,2012,Petrol,Manual,First,5,2.5,7,65,chevrolet,18.6,1199,79.4
1286,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2013,Diesel,Manual,First,5,4.85,6,74,volkswagen,22.07,1199,73.9
1287,Ford Figo Petrol LXI,Hyderabad,2010,Petrol,Manual,First,5,2.65,9,51,ford,15.6,1196,70
1289,Honda City i DTEC VX,Jaipur,2015,Diesel,Manual,Second,5,6.9,4,66,honda,25.1,1498,98.6
1290,Ford Figo Diesel Titanium,Hyderabad,2013,Diesel,Manual,First,5,3.5,6,90,ford,20,1399,68.05
1292,Maruti Ciaz 1.4 AT Alpha,Delhi,2017,Petrol,Automatic,First,5,9.2,2,32,maruti,19.12,1373,91.1
1293,Hyundai Grand i10 AT Asta,Mumbai,2015,Petrol,Automatic,First,5,4.9,4,29,hyundai,18.9,1197,82
1297,Fiat Linea Emotion (Diesel),Kolkata,2010,Diesel,Manual,First,5,2.6,9,145,fiat,20.4,1248,91.7
1298,Maruti Swift Lxi BSIII,Jaipur,2015,Petrol,Manual,First,5,4.5,4,78,maruti,16.1,1298,88.2
1301,Maruti Swift LDI,Mumbai,2015,Diesel,Manual,First,5,5.25,4,14,maruti,28.4,1248,74
1304,Hyundai i20 Magna Optional 1.2,Delhi,2013,Petrol,Manual,First,5,3.67,6,63,hyundai,18.5,1197,82.9
1306,Toyota Etios G,Delhi,2012,Petrol,Manual,First,5,3.1,7,60,toyota,17.6,1496,88.73
1307,Tata Indigo LX,Ahmedabad,2015,Diesel,Manual,First,5,2.9,4,78,tata,17,1405,70
1311,Hyundai Grand i10 CRDi Magna,Delhi,2014,Diesel,Manual,First,5,3.49,5,45,hyundai,24,1120,70
1312,Maruti Swift VDI BSIV,Delhi,2014,Diesel,Manual,First,5,4.25,5,57,maruti,25.2,1248,74
1313,Hyundai Verna CRDi 1.4 E,Chennai,2008,Diesel,Manual,Second,5,1.9,11,121,hyundai,24,1396,88.76
1317,Fiat Linea Classic Plus 1.3 Multijet,Jaipur,2013,Diesel,Manual,Second,5,2.5,6,86,fiat,19.5,1248,75
1318,Honda City 1.3 EXI,Ahmedabad,2002,Petrol,Manual,First,5,1.2,17,85,honda,13,1343,90
1321,Ford Fiesta 1.4 Duratec EXI,Chennai,2007,Petrol,Manual,First,5,1.6,12,100,ford,16.6,1388,68
1322,Tata Nano XTA,Coimbatore,2016,Petrol,Automatic,First,4,3.6,3,5,tata,21.9,624,37.48
1324,Maruti Ignis 1.2 Delta,Coimbatore,2019,Petrol,Manual,First,5,6.06,0,16,maruti,20.89,1197,81.8
1325,Maruti Swift Dzire ZXi,Coimbatore,2013,Petrol,Manual,Second,5,5.29,6,59,maruti,17.5,1298,85.8
1326,Ford Ecosport 1.5 DV5 MT Titanium,Jaipur,2014,Diesel,Manual,First,5,5.75,5,60,ford,22.7,1498,89.84
1328,Maruti Swift Dzire VXI,Coimbatore,2014,Petrol,Manual,First,5,5.72,5,47,maruti,19.1,1197,85.8
1329,Hyundai i10 Sportz AT,Kochi,2014,Petrol,Automatic,First,5,4.39,5,61,hyundai,16.95,1197,78.9
1331,Hyundai i20 Magna 1.4 CRDi,Delhi,2015,Diesel,Manual,Second,5,4.83,4,66,hyundai,22.54,1396,88.73
1333,Hyundai i20 Asta 1.4 CRDi,Chennai,2012,Diesel,Manual,Second,5,4.5,7,107,hyundai,21.27,1396,88.76
1338,Hyundai Xcent 1.2 Kappa SX,Mumbai,2016,Petrol,Manual,First,5,4.99,3,10,hyundai,19.1,1197,82
1339,Honda City i DTec E,Coimbatore,2016,Diesel,Manual,First,5,8.18,3,24,honda,26,1498,98.6
1340,Honda Brio S Option MT,Pune,2012,Petrol,Manual,First,5,2.9,7,79,honda,18.4,1198,86.8
1341,Maruti Ciaz ZDi Plus SHVS,Jaipur,2015,Diesel,Manual,First,5,7.1,4,40,maruti,28.09,1248,88.5
1342,Maruti Swift Dzire VDI Optional,Pune,2016,Diesel,Manual,First,5,7.05,3,23,maruti,26.59,1248,74
1351,Maruti Ciaz VXi Plus,Kochi,2015,Petrol,Manual,First,5,6.93,4,44,maruti,20.73,1373,91.1
1353,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Ahmedabad,2013,Diesel,Manual,First,7,7.9,6,60,toyota,12.99,2494,100
1358,Maruti Alto LXi,Coimbatore,2012,Petrol,Manual,First,5,2.88,7,49,maruti,19.7,796,46.3
1359,Maruti Alto 800 2016-2019 LXI,Kolkata,2016,Petrol,Manual,First,5,2.15,3,31,maruti,24.7,796,47.3
1360,Nissan Sunny 2011-2014 XV,Pune,2013,Petrol,Manual,First,5,3.75,6,8,nissan,16.95,1498,97.7
1361,Maruti Alto 800 2016-2019 VXI,Mumbai,2019,Petrol,Manual,First,5,3.6,0,0,maruti,24.7,796,47.3
1362,Maruti Alto K10 VXI,Kolkata,2018,Petrol,Manual,First,5,3.6,1,2,maruti,24.07,998,67.1
1363,Hyundai Grand i10 1.2 Kappa Sportz AT,Coimbatore,2018,Petrol,Automatic,First,5,7.55,1,20,hyundai,18.9,1197,81.86
1364,Honda Mobilio S i DTEC,Kolkata,2015,Diesel,Manual,First,7,4.7,4,50,honda,24.2,1498,98.6
1365,Tata Manza Aqua Quadrajet,Jaipur,2010,Diesel,Manual,Second,5,1.6,9,100,tata,18.8,1248,90
1368,Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2019,Petrol,Manual,First,5,6.17,0,18,hyundai,18.9,1197,81.86
1370,Nissan Micra XL,Kolkata,2016,Petrol,Manual,First,5,3,3,31,nissan,18.44,1198,75
1373,Maruti Wagon R VXI BS IV,Jaipur,2013,Petrol,Manual,Second,5,2.85,6,62,maruti,20.51,998,67.04
1376,Maruti Baleno Alpha 1.3,Delhi,2016,Diesel,Manual,First,5,6.75,3,46,maruti,27.39,1248,74
1377,Honda City i DTec V,Coimbatore,2017,Diesel,Manual,First,5,7.75,2,73,honda,26,1498,98.6
1378,Hyundai i20 Era 1.4 CRDi,Kochi,2014,Diesel,Manual,First,5,4.4,5,46,hyundai,22.54,1396,88.76
1382,Maruti Wagon R LXI Minor,Pune,2009,Petrol,Manual,First,5,1.69,10,120,maruti,18.9,998,67.1
1384,Maruti Ritz LXi,Mumbai,2016,Petrol,Manual,First,5,3.2,3,62,maruti,18.5,1197,85.8
1387,Volkswagen Polo 1.2 MPI Highline,Hyderabad,2016,Petrol,Manual,First,5,5.1,3,60,volkswagen,16.47,1198,74
1389,Ford Figo Petrol ZXI,Mumbai,2010,Petrol,Manual,Second,5,2.4,9,69,ford,15.6,1196,70
1392,Renault Duster 85PS Diesel RxL,Coimbatore,2015,Diesel,Manual,First,5,5.67,4,64,renault,20.45,1461,83.8
1393,Hyundai Grand i10 1.2 Kappa Magna AT,Bangalore,2018,Petrol,Automatic,First,5,6.2,1,3,hyundai,18.9,1197,81.86
1395,Maruti Ritz VDi,Pune,2010,Diesel,Manual,First,5,3,9,71,maruti,21.1,1248,73.9
1396,Hyundai i10 Era 1.1 iTech SE,Jaipur,2010,Petrol,Manual,Second,5,2.25,9,52,hyundai,19.81,1086,68.05
1400,Ford Ecosport 1.5 DV5 MT Titanium Optional,Coimbatore,2015,Diesel,Manual,First,5,7.48,4,92,ford,22.7,1498,89.84
1401,Maruti Alto LXi,Coimbatore,2010,Petrol,Manual,First,5,3.1,9,48,maruti,19.7,796,46.3
1402,Volkswagen Polo 1.2 MPI Highline,Mumbai,2011,Petrol,Manual,First,5,2.55,8,46,volkswagen,16.47,1198,74
1403,Volkswagen Polo Diesel Comfortline 1.2L,Jaipur,2013,Diesel,Manual,First,5,3.5,6,62,volkswagen,22.07,1199,73.9
1404,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2012,Diesel,Manual,First,5,2.59,7,35,volkswagen,22.07,1199,73.9
1405,Maruti Ertiga ZDI,Kolkata,2013,Diesel,Manual,First,7,5.45,6,70,maruti,20.77,1248,88.8
1406,Ford EcoSport 1.5 TDCi Ambiente,Kolkata,2017,Diesel,Manual,First,5,6,2,30,ford,22.77,1498,98.59
1409,Maruti Swift Dzire Tour LDI,Kolkata,2017,Diesel,Manual,First,5,4.75,2,148,maruti,23.4,1248,74
1412,Tata Zest Revotron 1.2T XM,Mumbai,2016,Petrol,Manual,First,5,4,3,43,tata,17.57,1193,88.7
1414,Tata Indica Vista Quadrajet VX,Pune,2012,Diesel,Manual,First,5,2.5,7,65,tata,22.3,1248,74
1415,Maruti Swift Dzire VDI,Delhi,2015,Diesel,Manual,First,5,5.5,4,76,maruti,26.59,1248,74
1416,Fiat Linea Emotion,Kolkata,2010,Petrol,Manual,First,5,1.59,9,39,fiat,16,1368,90
1417,Hyundai i20 1.2 Spotz,Mumbai,2017,Petrol,Manual,First,5,6.22,2,18,hyundai,18.6,1197,81.83
1418,Hyundai EON Era Plus,Kolkata,2016,Petrol,Manual,First,5,2.75,3,11,hyundai,21.1,814,55.2
1421,Maruti Celerio VXI,Delhi,2014,Petrol,Manual,First,5,2.8,5,77,maruti,23.1,998,67.04
1422,Chevrolet Beat LT,Mumbai,2014,Petrol,Manual,Second,5,2.45,5,54,chevrolet,17.8,1199,76.8
1423,Honda Jazz 1.2 V AT i VTEC Privilege,Pune,2016,Petrol,Automatic,First,5,6.35,3,21,honda,19,1199,88.7
1428,Chevrolet Beat Diesel LS,Kochi,2016,Diesel,Manual,First,5,3.15,3,83,chevrolet,25.44,936,56.3
1432,Ford Figo 2015-2019 1.2P Titanium Opt MT,Coimbatore,2017,Petrol,Manual,First,5,6.48,2,25,ford,18.16,1196,86.8
1433,Maruti 800 AC,Jaipur,2007,Petrol,Manual,First,4,0.75,12,59,maruti,16.1,796,37
1434,Honda City i DTEC V,Kolkata,2014,Diesel,Manual,First,5,5,5,36,honda,26,1498,98.6
1436,Ford Figo Diesel ZXI,Chennai,2010,Diesel,Manual,First,5,2.6,9,90,ford,20,1399,68
1438,Hyundai i20 Asta 1.2,Mumbai,2015,Petrol,Manual,First,5,5.05,4,42,hyundai,18.6,1197,81.83
1439,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Hyderabad,2012,Diesel,Manual,First,7,9.6,7,131,toyota,12.99,2494,100
1440,Renault Duster 85PS Diesel RxL Optional,Mumbai,2013,Diesel,Manual,First,5,5.5,6,74,renault,20.46,1461,83.8
1443,Maruti Alto K10 VXI,Hyderabad,2016,Petrol,Manual,First,5,3.5,3,10,maruti,24.07,998,67.1
1444,Nissan Micra Active XL Petrol,Kochi,2016,Petrol,Manual,First,5,4.26,3,49,nissan,19.49,1198,67.04
1445,Maruti Celerio VXI AT,Chennai,2016,Petrol,Automatic,Second,5,4.25,3,12,maruti,23.1,998,67.04
1447,Ford Fiesta Diesel Style,Chennai,2013,Diesel,Manual,First,5,3.5,6,177,ford,23.5,1498,88.7
1449,Hyundai i20 1.4 Asta (AT),Chennai,2009,Petrol,Automatic,Third,5,3.25,10,72,hyundai,15,1396,100
